"site","parameter","datetime","date","year","month","day","hour","aqi","aqi_categ","unit","duration","qc_name"
"Hanoi","PM2.5 - Principal",2015-12-13 20:00:00,2015-12-13,2015,12,13,20,104.3,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-13 21:00:00,2015-12-13,2015,12,13,21,113.9,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-13 22:00:00,2015-12-13,2015,12,13,22,83.5,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-13 23:00:00,2015-12-13,2015,12,13,23,70.5,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 00:00:00,2015-12-14,2015,12,14,0,56.6,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 01:00:00,2015-12-14,2015,12,14,1,46.9,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 02:00:00,2015-12-14,2015,12,14,2,45.3,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 03:00:00,2015-12-14,2015,12,14,3,56.7,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 04:00:00,2015-12-14,2015,12,14,4,78,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 05:00:00,2015-12-14,2015,12,14,5,46.4,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 06:00:00,2015-12-14,2015,12,14,6,29.6,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 07:00:00,2015-12-14,2015,12,14,7,20,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 08:00:00,2015-12-14,2015,12,14,8,22.1,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 09:00:00,2015-12-14,2015,12,14,9,26,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 10:00:00,2015-12-14,2015,12,14,10,29,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 11:00:00,2015-12-14,2015,12,14,11,28.9,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 12:00:00,2015-12-14,2015,12,14,12,28,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 13:00:00,2015-12-14,2015,12,14,13,28.4,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 14:00:00,2015-12-14,2015,12,14,14,40.9,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 15:00:00,2015-12-14,2015,12,14,15,39.3,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 16:00:00,2015-12-14,2015,12,14,16,49.2,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 17:00:00,2015-12-14,2015,12,14,17,55.8,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 18:00:00,2015-12-14,2015,12,14,18,51,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 19:00:00,2015-12-14,2015,12,14,19,52.1,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 20:00:00,2015-12-14,2015,12,14,20,56,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 21:00:00,2015-12-14,2015,12,14,21,55.7,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 22:00:00,2015-12-14,2015,12,14,22,48.8,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-14 23:00:00,2015-12-14,2015,12,14,23,44.2,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 00:00:00,2015-12-15,2015,12,15,0,52.8,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 01:00:00,2015-12-15,2015,12,15,1,47.9,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 02:00:00,2015-12-15,2015,12,15,2,44.9,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 03:00:00,2015-12-15,2015,12,15,3,44,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 04:00:00,2015-12-15,2015,12,15,4,44.8,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 05:00:00,2015-12-15,2015,12,15,5,41,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 06:00:00,2015-12-15,2015,12,15,6,43.4,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 07:00:00,2015-12-15,2015,12,15,7,58,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 08:00:00,2015-12-15,2015,12,15,8,58.8,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 09:00:00,2015-12-15,2015,12,15,9,53,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 10:00:00,2015-12-15,2015,12,15,10,55.6,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 11:00:00,2015-12-15,2015,12,15,11,43.8,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 12:00:00,2015-12-15,2015,12,15,12,39.8,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 13:00:00,2015-12-15,2015,12,15,13,36.1,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 14:00:00,2015-12-15,2015,12,15,14,40.5,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 15:00:00,2015-12-15,2015,12,15,15,27,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 16:00:00,2015-12-15,2015,12,15,16,28,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 17:00:00,2015-12-15,2015,12,15,17,30.3,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 18:00:00,2015-12-15,2015,12,15,18,40.8,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 19:00:00,2015-12-15,2015,12,15,19,36.8,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 20:00:00,2015-12-15,2015,12,15,20,32.1,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 21:00:00,2015-12-15,2015,12,15,21,38,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 22:00:00,2015-12-15,2015,12,15,22,37.8,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-15 23:00:00,2015-12-15,2015,12,15,23,33.7,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 00:00:00,2015-12-16,2015,12,16,0,25.1,"Good","UG/M3","1 Hr","Valid"
